,bank,name,address,x,y,행정구
353,국민은행,매봉역,서울특별시 강남구 도곡동 남부순환로378길 10,37.4855914,127.0456872,강남구
354,국민은행,먹골역,서울특별시 중랑구 묵동 동일로 921,37.6126603,127.0768681,중랑구
355,국민은행,명동스타PB센터,서울특별시 중구 을지로2가 을지로 51 내외빌딩 6층,37.5664986,126.9835552,중구
356,국민은행,명동역,서울특별시 중구 충무로2가 퇴계로 131 신일빌딩,37.561258,126.986386,중구
357,국민은행,명동영업부,서울특별시 중구 을지로2가 을지로 51 교원내외빌딩,37.5664794,126.9836634,중구
358,국민은행,명일동종합금융센터,서울특별시 강동구 명일동 양재대로 1661,37.5538505,127.1439031,강동구
359,국민은행,모래내,서울특별시 서대문구 남가좌동 수색로 40,37.5700305,126.9143878,서대문구
360,국민은행,목동PB센터,서울특별시 양천구 목동 목동동로 381 2층,37.5357068,126.8790545,양천구
361,국민은행,목동서로종합금융센터,서울특별시 양천구 신정동 목동서로 283,37.5220824,126.8696157,양천구
362,국민은행,목동스텔라,서울특별시 양천구 목동 오목로 312 제일빌딩,37.5246769,126.8719811,양천구
363,국민은행,목동역,서울특별시 양천구 신정동 오목로 222,37.5255743,126.8619555,양천구
364,국민은행,목동중앙,서울특별시 양천구 목1동 목동동로 309 행복한세상백화점 1층,37.5293731,126.8760838,양천구
