,레이블,income_all,FRNR_ALL_EXPNDTR_PRICE,floating_population
0,0,953.8720000000001,109372160.0,2042504.9090909092
1,1,4565.204,221683339.5,9924826.0
2,2,2669.3632000000002,170980385.1,3198917.0
3,3,1580.8999999999999,2484346050.5,5489391.0
