행정구,2024_population,bank_count,company_count,Income,레이블
강남구,0.5879761178883792,0.5038090693709012,0.32636370721371516,0.9355950172276701,3
강동구,0.12149230561405372,0.07576616468670193,0.1042710132510381,0.2639146567717998,0
강북구,0.020003787491918834,0.0,0.008071206028003486,0.0,0
강서구,0.20779885354964353,0.036142146263984404,0.05827897764448045,0.29088258680095436,0
관악구,0.34213261566029685,0.02207242200652139,0.11664758409474296,0.03220249138616493,0
광진구,0.22653500361797366,0.10476073502526843,0.151278982739174,0.13921282798833845,0
구로구,0.9269985753073481,0.1317002778634483,0.25948310874362945,0.07547044791942747,2
금천구,0.5316950019153978,0.19530876515488405,0.43647400593946567,0.053869599787967015,2
노원구,0.06589686720763935,0.030486346578235846,0.0,0.17048767558971667,0
도봉구,0.0,0.0028104154210565335,0.026700864861809614,0.08348794063079801,0
동대문구,0.26534264286031894,0.1836230335906343,0.3240896358101925,0.13583355420090104,1
동작구,0.2497668199865082,0.10759974518112105,0.10629313207419688,0.24973495891863262,1
마포구,0.2236352381235037,0.16146632259551014,0.2189094678706946,0.3587331036310628,1
서대문구,0.14874070118452593,0.11220885303779167,0.10063936597240625,0.2170686456400741,0
서초구,0.34689708193075897,0.1749815209729917,0.07719212109429285,1.0,3
성동구,0.1681424612381465,0.1486891350430875,0.23499028295484736,0.36111847336337144,1
성북구,0.13720627794212656,0.07267824339081232,0.05719099894605226,0.16141001855287573,0
송파구,0.27047360653620134,0.19051984519986015,0.18869856870611013,0.4899946991783728,1
양천구,0.07508560143650084,0.15453948943971646,0.1851461262639011,0.299363901404718,1
영등포구,0.9999999999999999,0.08546295995015422,0.22008903467976654,0.1129075006626028,2
용산구,0.20453332998169518,0.14723347271786008,0.040640379287815054,0.5249138616485558,1
은평구,0.06634236751198008,0.02162850085106123,0.026576833267271255,0.15968725152398644,0
종로구,0.2015775864973484,0.22560626806095196,0.15910848985442944,0.25960773919957614,1
중구,0.40209137994933886,1.0000000000000002,1.0,0.2745163000265043,2
중랑구,0.09862075513885868,0.03661642200998802,0.17617845953885913,0.036906970580440124,0
