레이블,Res_population_2015,Res_population_2016,Res_population_2017,Res_population_2018,Res_population_2019,Res_population_2020,Res_population_2021,population_2023,population_2024,Income_population,INCOME_TWO_TMW_INHBT_RATE,INCOME_THREE_TMW_INHBT_RATE,INCOME_FOUR_TMW_INHBT_RATE,INCOME_FIVE_TMW_INHBT_RATE,INCOME_SIX_TMW_INHBT_RATE,INCOME_SEVEN_TMW_INHBT_RATE,INCOME_SEVEN_TMW_ABOVE_INHBT_RATE,FRNR_ALL_EXPNDTR_PRICE,income_all
0,13074.727272727272,13413.272727272728,13300.545454545454,14089.727272727272,14256.272727272728,12096.636363636364,11537.181818181818,12922.181818181818,13094.636363636364,9469.0,0.1309090909090909,0.3772727272727273,0.23272727272727273,0.1109090909090909,0.053636363636363635,0.030909090909090907,0.06636363636363636,464943062.1818182,2619.7294545454547
1,4887.777777777777,4744.555555555556,4633.0,4846.555555555556,4849.222222222223,4412.888888888889,4192.555555555556,4434.111111111111,4529.555555555556,7307.333333333333,0.12444444444444445,0.3611111111111111,0.2488888888888889,0.11666666666666667,0.05444444444444444,0.031111111111111114,0.06222222222222223,127031282.22222222,906.7102222222222
2,6663.5,6463.5,6395.5,6665.5,6565.0,5886.5,5720.0,6009.5,6189.0,9001.0,0.08499999999999999,0.275,0.215,0.13,0.07500000000000001,0.05,0.18,806144844.0,1238.608
3,35909.5,34107.5,32145.5,34905.5,33007.5,27983.5,24240.0,22592.5,22822.0,9034.0,0.125,0.385,0.235,0.11,0.055,0.03,0.065,221683339.5,4565.204
